ID	cluster	dist_rf	dist_spr	PP	sqrt(PP)	sqrt_size	log_size
0	1	0	0	0.0586901	0.242260397093706	0.24226	-1.23144
1	2	8	3	0.0586264	0.242128891295525	0.242129	-1.23191
2	3	6	2	0.0586191	0.242113816210476	0.242114	-1.23196
3	4	4	2	0.0586117	0.242098533659335	0.242099	-1.23202
4	5	6	2	0.0585818	0.24203677406543	0.242037	-1.23224
5	6	8	3	0.0585804	0.242033881925651	0.242034	-1.23225
6	5	6	2	0.0585795	0.242032022674687	0.242032	-1.23225
7	4	6	2	0.0585736	0.242019833897968	0.24202	-1.2323
8	7	4	2	0.0585417	0.241953921232949	0.241954	-1.23253
9	6	6	3	0.05854	0.241950408141834	0.24195	-1.23255
10	3	6	3	0.0585267	0.241922921609342	0.241923	-1.23265
11	6	8	3	0.0585102	0.241888817434788	0.241889	-1.23277
12	8	8	3	0.0585025	0.241872900507684	0.241873	-1.23283
13	3	4	2	0.0584953	0.241858016199588	0.241858	-1.23288
14	3	6	2	0.0584921	0.241851400657511	0.241851	-1.2329
15	1	2	1	0.0584852	0.241837135279096	0.241837	-1.23295
16	2	6	3	0.0584788	0.24182390287149	0.241824	-1.233
17	3	6	3	0.0584475	0.241759177695491	0.241759	-1.23323
18	1	2	1	0.0584447	0.241753386739462	0.241753	-1.23325
19	1	4	1	0.058438	0.241739529245839	0.24174	-1.2333
20	5	8	2	0.0584368	0.241737047222804	0.241737	-1.23331
21	6	8	3	0.0584365	0.241736426713063	0.241736	-1.23332
22	6	8	3	0.0584342	0.2417316694188	0.241732	-1.23333
23	4	6	3	0.0584262	0.241715121579102	0.241715	-1.23339
24	6	8	3	0.0584249	0.241712432448147	0.241712	-1.2334
25	3	6	2	0.0584152	0.241692366449584	0.241692	-1.23347
26	1	4	1	0.0584086	0.241678712343475	0.241679	-1.23352
27	2	4	2	0.058395	0.241650574176847	0.241651	-1.23362
28	1	2	1	0.0583855	0.241630916895997	0.241631	-1.23369
29	-1	6	2	0.0583753	0.241609809403509	0.24161	-1.23377
30	4	6	2	0.0583727	0.241604428767355	0.241604	-1.23379
31	2	8	3	0.0583694	0.241597599325821	0.241598	-1.23381
32	5	6	3	0.0583671	0.241592839297857	0.241593	-1.23383
33	-1	8	3	0.0583645	0.241587458283745	0.241587	-1.23385
34	3	6	3	0.0583424	0.241541714823755	0.241542	-1.23402
35	4	4	2	0.058341	0.241538816756231	0.241539	-1.23403
36	6	8	3	0.0583395	0.241535711645297	0.241536	-1.23404
37	5	8	3	0.0583248	0.241505279445398	0.241505	-1.23415
38	1	2	1	0.0583245	0.241504658340165	0.241505	-1.23415
39	6	8	4	0.0583243	0.241504244269123	0.241504	-1.23415
40	1	4	1	0.0583198	0.24149492748296	0.241495	-1.23418
41	5	8	2	0.0583176	0.241490372478904	0.24149	-1.2342
42	-1	6	2	0.0583164	0.241487887895025	0.241488	-1.23421
43	6	8	3	0.058313	0.241480848101873	0.241481	-1.23423
44	8	8	2	0.0583076	0.241469666832089	0.24147	-1.23427
45	2	6	3	0.0583055	0.241465318420679	0.241465	-1.23429
46	6	8	4	0.0583033	0.241460762858068	0.241461	-1.23431
47	2	8	3	0.0582936	0.241440675943388	0.241441	-1.23438
48	3	6	2	0.0582902	0.241433634773616	0.241434	-1.2344
49	4	6	2	0.058289	0.241431149605845	0.241431	-1.23441
50	2	8	2	0.0582884	0.241429907012367	0.24143	-1.23442
51	1	4	1	0.058284	0.241420794464769	0.241421	-1.23445
52	5	8	2	0.0582741	0.241400289974971	0.2414	-1.23452
53	-1	8	4	0.0582693	0.241390347777205	0.24139	-1.23456
54	5	6	3	0.0582675	0.241386619347469	0.241387	-1.23457
55	4	4	2	0.0582657	0.241382890860144	0.241383	-1.23459
56	2	8	4	0.0582655	0.241382476580219	0.241382	-1.23459
57	3	4	2	0.0582625	0.241376262296026	0.241376	-1.23461
58	3	6	2	0.0582609	0.241372947945705	0.241373	-1.23462
59	1	2	1	0.0582606	0.241372326499953	0.241372	-1.23463
60	2	8	4	0.0582528	0.24135616834877	0.241356	-1.23468
61	-1	4	2	0.0582368	0.241323020037459	0.241323	-1.2348
62	4	4	2	0.0582346	0.241318461788567	0.241318	-1.23482
