ID	cluster	dist_rf	dist_spr	PP	sqrt(PP)	sqrt_size	log_size	uniq_id
0	1	0	0	0.0120932	0.109969086565271	0.109969	-1.91746	321
1	1	2	1	0.012086	0.109936345218495	0.109936	-1.91772	636
2	1	4	1	0.0120805	0.109911327896628	0.109911	-1.91792	367
3	2	4	2	0.0120794	0.109906323748909	0.109906	-1.91795	366
4	3	8	3	0.0120784	0.109901774325986	0.109902	-1.91799	420
5	2	6	3	0.0120681	0.109854904305634	0.109855	-1.91836	681
6	1	2	1	0.0120601	0.109818486604032	0.109818	-1.91865	319
7	4	6	2	0.0120596	0.109816210096688	0.109816	-1.91867	45
8	3	8	3	0.0120549	0.109794808620444	0.109795	-1.91884	546
9	4	6	2	0.012054	0.109790709989507	0.109791	-1.91887	49
10	3	8	3	0.0120527	0.109784789474681	0.109785	-1.91892	735
11	5	6	2	0.0120523	0.109782967713576	0.109783	-1.91893	679
12	4	6	2	0.0120463	0.109755637668413	0.109756	-1.91915	675
13	1	4	1	0.0120458	0.109753359857455	0.109753	-1.91916	358
14	1	4	1	0.0120448	0.109748804093712	0.109749	-1.9192	364
15	1	2	1	0.0120441	0.109745614946566	0.109746	-1.91923	322
16	6	8	2	0.0120411	0.109731946123269	0.109732	-1.91933	922
17	2	4	2	0.012041	0.109731490466502	0.109731	-1.91934	365
18	1	4	1	0.0120356	0.109706882190681	0.109707	-1.91953	355
19	2	6	3	0.0120339	0.109699133998405	0.109699	-1.91959	51
20	6	8	3	0.0120331	0.109695487600904	0.109695	-1.91962	924
21	3	8	4	0.0120327	0.109693664356698	0.109694	-1.91964	861
22	5	4	2	0.0120288	0.109675886137291	0.109676	-1.91978	630
23	4	6	2	0.0120276	0.109670415336133	0.10967	-1.91982	52
24	1	2	1	0.0120243	0.109655369225588	0.109655	-1.91994	320
25	1	4	1	0.0120238	0.109653089331765	0.109653	-1.91996	351
26	3	4	2	0.0120231	0.109649897400773	0.10965	-1.91998	357
27	5	6	3	0.012023	0.109649441403046	0.109649	-1.91999	672
28	7	4	2	0.0120228	0.109648529401903	0.109649	-1.91999	635
29	4	6	3	0.0120138	0.109607481496474	0.109607	-1.92032	42
30	3	6	3	0.012013	0.109603832049796	0.109604	-1.92035	483
31	5	4	2	0.012011	0.109594707901431	0.109595	-1.92042	634
32	5	4	2	0.012006	0.109571894206498	0.109572	-1.9206	637
33	6	8	3	0.0120007	0.109547706502692	0.109548	-1.92079	796
34	6	8	3	0.0120006	0.109547250079589	0.109547	-1.9208	166
35	5	6	2	0.011998	0.109535382411347	0.109535	-1.92089	682
36	6	6	2	0.0119967	0.109529448095021	0.109529	-1.92094	481
37	8	8	3	0.0119962	0.109527165580051	0.109527	-1.92096	103
38	5	6	2	0.0119949	0.109521230818504	0.109521	-1.921	666
39	3	8	4	0.0119907	0.109502054775242	0.109502	-1.92116	105
40	4	6	3	0.0119903	0.109500228310264	0.1095	-1.92117	50
41	4	6	2	0.0119888	0.10949337879525	0.109493	-1.92122	43
42	4	4	2	0.0119877	0.109488355545236	0.109488	-1.92126	5
43	-1	4	2	0.0119851	0.109476481492602	0.109476	-1.92136	4
44	-1	8	3	0.0119843	0.109472827678835	0.109473	-1.92139	797
45	6	6	2	0.0119825	0.109464606151943	0.109465	-1.92145	40
46	-1	4	2	0.0119794	0.109450445407956	0.10945	-1.92156	7
47	5	6	3	0.0119786	0.109446790724991	0.109447	-1.92159	680
48	6	8	2	0.0119761	0.109435369054068	0.109435	-1.92168	733
49	6	8	2	0.0119702	0.109408409183207	0.109408	-1.9219	229
50	4	6	2	0.0119689	0.109402467979475	0.109402	-1.92195	36
51	8	6	2	0.0119677	0.109396983505031	0.109397	-1.92199	607
52	5	6	2	0.0119656	0.109387385013081	0.109387	-1.92207	670
53	-1	6	2	0.011965	0.109384642432107	0.109385	-1.92209	673
