ID	cluster	dist_rf	dist_spr	PP	sqrt(PP)	sqrt_size	log_size
0	1	0	0	0.0053744	0.0733102994128383	0.0733103	-2.26967
1	2	8	3	0.0053673	0.07326185910827	0.0732619	-2.27024
2	3	6	2	0.0053635	0.0732359201485173	0.0732359	-2.27055
3	4	8	3	0.0053569	0.0731908464222132	0.0731908	-2.27109
4	5	6	2	0.0053565	0.0731881137890573	0.0731881	-2.27112
5	4	8	2	0.0053559	0.073184014648009	0.073184	-2.27117
6	6	8	2	0.0053548	0.073176498959707	0.0731765	-2.27126
7	7	8	2	0.0053538	0.0731696658458955	0.0731697	-2.27134
8	8	6	2	0.0053519	0.0731566811713052	0.0731567	-2.27149
9	-1	8	3	0.0053503	0.0731457449206719	0.0731457	-2.27162
10	1	8	1	0.0053501	0.0731443777743717	0.0731444	-2.27164
11	-1	8	3	0.0053501	0.0731443777743717	0.0731444	-2.27164
12	-1	8	2	0.0053481	0.0731307049056687	0.0731307	-2.2718
13	5	8	3	0.0053438	0.0731012995780513	0.0731013	-2.27215
14	1	4	1	0.0053434	0.0730985635973786	0.0730986	-2.27218
15	2	8	3	0.005342	0.0730889868584864	0.073089	-2.2723
16	3	8	3	0.0053414	0.0730848821576665	0.0730849	-2.27234
17	4	8	3	0.0053408	0.0730807772262994	0.0730808	-2.27239
18	-1	8	2	0.0053397	0.0730732509198818	0.0730733	-2.27248
19	5	6	2	0.0053394	0.0730711981563188	0.0730712	-2.27251
20	7	8	2	0.0053393	0.0730705138889826	0.0730705	-2.27252
21	-1	8	2	0.0053391	0.0730691453350865	0.0730691	-2.27253
22	-1	8	3	0.0053359	0.073047244985694	0.0730472	-2.27279
23	-1	6	2	0.0053358	0.0730465604939753	0.0730466	-2.2728
24	3	8	2	0.0053353	0.0730431379391658	0.0730431	-2.27284
25	-1	8	3	0.005335	0.0730410843293006	0.0730411	-2.27287
26	-1	8	2	0.0053346	0.0730383460929942	0.0730383	-2.2729
27	-1	8	3	0.0053334	0.0730301307680604	0.0730301	-2.273
