ID	cluster	dist_rf	dist_spr	PP	sqrt(PP)	sqrt_size	log_size	uniq_id
0	1	0	0	0.0841968	0.290166848554414	0.290167	-1.0747	13
1	2	4	2	0.0841838	0.290144446784701	0.290144	-1.07477	4
2	3	2	1	0.0841325	0.290056029070247	0.290056	-1.07504	3
3	4	2	1	0.084099	0.289998275856944	0.289998	-1.07521	8
4	5	4	2	0.0840343	0.289886702006146	0.289887	-1.07554	0
5	6	4	1	0.0579832	0.240797009948213	0.240797	-1.2367	11
6	7	4	1	0.0579654	0.240760046519351	0.24076	-1.23683	9
7	8	4	2	0.0579514	0.240730970172099	0.240731	-1.23694	5
8	-1	4	2	0.0579384	0.240703967561816	0.240704	-1.23703	1
9	-1	4	1	0.0579366	0.240700228500099	0.2407	-1.23705	2
10	-1	2	1	0.0579329	0.240692542468602	0.240693	-1.23707	12
11	-1	4	1	0.0579301	0.240686725849183	0.240687	-1.2371	10
12	-1	2	1	0.0579157	0.240656809585767	0.240657	-1.2372	14
13	-1	4	1	0.0579017	0.240627720763839	0.240628	-1.23731	6
14	-1	4	1	0.0578983	0.240620655804941	0.240621	-1.23733	7
