ID	cluster	dist_rf	dist_spr	PP	sqrt(PP)	sqrt_size	log_size
0	1	0	0	0.3468136	0.588908821465598	0.588909	-0.459904
1	2	4	2	0.3467203	0.588829601837408	0.58883	-0.460021
2	3	4	2	0.3467104	0.588821195270687	0.588821	-0.460033
3	4	2	1	0.3466052	0.588731857469935	0.588732	-0.460165
4	5	2	1	0.3463541	0.588518563853342	0.588519	-0.46048
5	6	4	2	0.3268953	0.5717475841663	0.571748	-0.485591
6	7	2	1	0.3267575	0.571627063739988	0.571627	-0.485774
7	8	4	1	0.3267551	0.571624964465339	0.571625	-0.485778
8	-1	2	1	0.3267355	0.57160782010046	0.571608	-0.485804
9	-1	4	1	0.3267046	0.571580790439987	0.571581	-0.485845
10	-1	4	2	0.3266572	0.57153932498123	0.571539	-0.485908
11	-1	4	1	0.3266219	0.571508442632303	0.571508	-0.485955
12	-1	4	1	0.3266175	0.571504593157395	0.571505	-0.485961
13	-1	4	1	0.3265496	0.571445185472763	0.571445	-0.486051
14	-1	4	1	0.3265027	0.571404147692332	0.571404	-0.486113
