name	cluster	dist_rf	dist_spr	PP	sqrt(PP)	sqrt_size	log_size
0	1	0	0	0.981856	0.990886471801891	0.990886	-0.0079522
1	2	2	1	0.980805	0.990355996599203	0.990356	-0.00841733
2	3	2	1	0.980775	0.990340850414644	0.990341	-0.00843061
3	4	4	2	0.978456	0.989169348493978	0.989169	-0.0094587
4	5	4	2	0.978084	0.988981294059701	0.988981	-0.00962385
5	6	4	1	0.0100342	0.100170854044477	0.100171	-1.99852
6	7	2	1	0.0100283	0.100141400030157	0.100141	-1.99877
7	8	4	1	0.010027	0.100134908997812	0.100135	-1.99883
8	-1	2	1	0.010017	0.100084963905674	0.100085	-1.99926
9	-1	4	1	0.0100156	0.100077969603704	0.100078	-1.99932
10	-1	4	2	0.0100089	0.100044490103154	0.100044	-1.99961
11	-1	4	1	0.0099772	0.0998859349458171	0.0998859	-2.00099
12	-1	4	1	0.009976	0.0998799279134702	0.0998799	-2.00104
13	-1	4	2	0.0099744	0.0998719179749743	0.0998719	-2.00111
14	-1	4	1	0.009965	0.0998248466064436	0.0998248	-2.00152
