ID	cluster	dist_rf	dist_spr	PP	sqrt(PP)	sqrt_size	log_size	uniq_id
0	1	0	0	0.3335943	0.577576228735221	0.577576	-0.476781	2

1	2	4	1	0.3335597	0.577546275202256	0.577546	-0.476826	10

2	3	4	1	0.3334969	0.577491904705166	0.577492	-0.476908	4

3	4	4	1	0.3334788	0.57747623327718	0.577476	-0.476932	9

4	5	2	1	0.3334702	0.577468787035282	0.577469	-0.476943	7

5	6	2	1	0.3334296	0.577433632550097	0.577434	-0.476996	5

6	7	4	2	0.3334252	0.577429822575869	0.57743	-0.477002	14

7	8	2	1	0.333361	0.577374228728647	0.577374	-0.477085	12

8	-1	4	2	0.3333192	0.577338029234174	0.577338	-0.47714	6

9	-1	4	2	0.3332639	0.57729013502744	0.57729	-0.477212	11

10	-1	4	1	0.3332359	0.577265883280833	0.577266	-0.477248	1

11	-1	4	1	0.333214	0.577246914240345	0.577247	-0.477277	8

12	-1	4	2	0.3330982	0.577146601826607	0.577147	-0.477428	15

13	-1	4	1	0.3330897	0.577139237966022	0.577139	-0.477439	13

14	-1	2	1	0.3329639	0.577030241841795	0.57703	-0.477603	3

